# Simulation 2 (Up to date)
# 215 data points written for 4 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-7.9619
0.01,0,0,-4.3013
0.02,0,0,-0.63999
0.03,0,0,3.2279
0.04,1.6146e-4,0.032294,7.9439
0.05,8.8173e-4,0.11177,12.755
0.06,0.0026374,0.23937,17.728
0.07,0.0059178,0.41673,24.176
0.08,0.011294,0.65862,30.992
0.09,0.019431,0.96873,37.818
# Event LIFTOFF occurred at t=0.1 seconds
0.1,0.03101,1.3471,44.638
0.11,0.046714,1.7938,51.293
0.12,0.067218,2.3071,57.904
0.13,0.093186,2.8866,64.533
0.14,0.12528,3.5324,71.293
0.15,0.16417,4.246,78.811
0.16,0.21057,5.0348,86.48
0.17,0.26525,5.9006,94.173
0.18,0.32897,6.8433,101.66
0.19,0.40249,7.861,108.51
0.2,0.48653,8.9475,115.36
0.21,0.58178,10.103,121.7
0.2199,0.68775,11.309,125.83
0.22874,0.79267,12.421,129.76
0.23679,0.89687,13.466,133.56
# Event LAUNCHROD occurred at t=0.24422 seconds
0.24422,1.0006,14.458,137.1
0.25536,1.1702,15.995,142.74
0.27207,1.4575,18.398,149.33
0.29713,1.9658,22.174,138.05
0.32427,2.6182,25.904,104.34
0.34881,3.2858,28.494,89.391
0.37377,4.0247,30.727,80.923
0.40331,4.9676,33.114,77.516
0.44762,6.5106,36.526,72.592
0.49762,8.4276,40.15,69.301
0.53054,9.7874,42.445,68.452
0.55038,10.643,43.803,68.561
0.56703,11.382,44.944,68.775
0.58245,12.083,46.005,68.996
0.59735,12.776,47.033,69.229
0.61227,13.486,48.067,69.435
0.62775,14.238,49.142,69.435
0.64462,15.077,50.314,69.412
0.66465,16.098,51.705,69.386
0.6931,17.598,53.68,68.994
0.73579,19.951,56.535,41.115
0.75985,21.323,57.522,19.862
0.77581,22.244,57.838,4.3218
0.78999,23.064,57.908,-6.6934
0.80369,23.856,57.819,-15.341
# Event BURNOUT occurred at t=0.81776 seconds
0.81776,24.669,57.603,-16.386
0.83342,25.569,57.347,-16.334
0.85257,26.664,57.035,-16.277
0.88119,28.289,56.57,-16.2
0.92411,30.703,55.877,-16.13
0.95828,32.603,55.326,-16.077
0.97778,33.679,55.013,-16.011
0.99735,34.752,54.701,-15.928
1.019,35.93,54.357,-15.844
1.0417,37.165,53.998,-15.743
1.0685,38.602,53.579,-15.6
1.1086,40.737,52.958,-15.396
1.1586,43.366,52.193,-15.203
1.1916,45.081,51.692,-15.097
1.2233,46.712,51.216,-14.997
1.2548,48.319,50.744,-14.905
1.2919,50.194,50.192,-14.816
1.3419,52.685,49.454,-14.708
1.3919,55.139,48.721,-14.61
1.4325,57.104,48.131,-14.504
1.4694,58.871,47.597,-14.392
1.5109,60.833,47.003,-14.254
1.5609,63.166,46.295,-14.077
1.6109,65.463,45.595,-13.908
1.6588,67.632,44.932,-13.769
